Conference,Team
American,All
America East,All
ACC,All
Atlantic Sun,All
A10,All
Big East,All
Big Sky,All
Big South,All
Big Ten,All
Big Twelve,All
Big West,All
CAA,All
Conference USA,All
Great West,All
Horizon League,All
Independent,All
Ivy League,All
MAAC,All
MAC,All
MEAC,All
Missouri Valley,All
Mountain West,All
Northeast,All
Ohio Valley,All
Pac Ten,All
Patriot League,All
SEC,All
Southern,All
Southland,All
SWAC,All
Summit League,All
Sun Belt,All
WCC,All
WAC,All
Southland,Abilene Christian
Mountain West,Air Force
MAC,Akron
SEC,Alabama
SWAC,Alabama A&M
SWAC,Alabama St.
America East,Albany
SWAC,Alcorn St.
Patriot League,American
Southern,Appalachian St.
Pac Ten,Arizona
Pac Ten,Arizona St.
SEC,Arkansas
Sun Belt,Arkansas Little Rock
SWAC,Arkansas Pine Bluff
Sun Belt,Arkansas St.
Patriot League,Army
SEC,Auburn
Ohio Valley,Austin Peay
MAC,Ball St.
Big Twelve,Baylor
Ohio Valley,Belmont
MEAC,Bethune Cookman
America East,Binghamton
Mountain West,Boise St.
ACC,Boston College
Patriot League,Boston University
MAC,Bowling Green
Missouri Valley,Bradley
Ivy League,Brown
Northeast,Bryant
Patriot League,Bucknell
MAC,Buffalo
Big East,Butler
WCC,BYU
Big West,Cal Poly
WAC,Cal St. Bakersfield
Big West,Cal St. Fullerton
Big West,Cal St. Northridge
Pac Ten,California
Big South,Campbell
MAAC,Canisius
Southland,Central Arkansas
Northeast,Central Connecticut
MAC,Central Michigan
Big South,Charleston Southern
Conference USA,Charlotte
Southern,Chattanooga
WAC,Chicago St.
American,Cincinnati
ACC,Clemson
Horizon League,Cleveland St.
Big South,Coastal Carolina
Patriot League,Colgate
CAA,College of Charleston
Pac Ten,Colorado
Mountain West,Colorado St.
Ivy League,Columbia
American,Connecticut
MEAC,Coppin St.
Ivy League,Cornell
Big East,Creighton
Ivy League,Dartmouth
Southern,Davidson
A10,Dayton
CAA,Delaware
MEAC,Delaware St.
Summit League,Denver
Big East,DePaul
Horizon League,Detroit
Missouri Valley,Drake
CAA,Drexel
ACC,Duke
A10,Duquesne
Conference USA,East Carolina
Atlantic Sun,East Tennessee St.
Ohio Valley,Eastern Illinois
Ohio Valley,Eastern Kentucky
MAC,Eastern Michigan
Big Sky,Eastern Washington
Southern,Elon
Missouri Valley,Evansville
MAAC,Fairfield
Northeast,Fairleigh Dickinson
Conference USA,FIU
SEC,Florida
MEAC,Florida A&M
Conference USA,Florida Atlantic
Atlantic Sun,Florida Gulf Coast
ACC,Florida St.
A10,Fordham
Mountain West,Fresno St.
Southern,Furman
Big South,Gardner Webb
A10,George Mason
A10,George Washington
Big East,Georgetown
SEC,Georgia
Southern,Georgia Southern
Sun Belt,Georgia St.
ACC,Georgia Tech
WCC,Gonzaga
SWAC,Grambling St.
WAC,Grand Canyon
Horizon League,Green Bay
MEAC,Hampton
America East,Hartford
Ivy League,Harvard
Big West,Hawaii
Big South,High Point
CAA,Hofstra
Patriot League,Holy Cross
American,Houston
Southland,Houston Baptist
MEAC,Howard
WAC,Idaho
Big Sky,Idaho St.
Big Ten,Illinois
Horizon League,Illinois Chicago
Missouri Valley,Illinois St.
Southland,Incarnate Word
Big Ten,Indiana
Missouri Valley,Indiana St.
MAAC,Iona
Big Ten,Iowa
Big Twelve,Iowa St.
Summit League,IPFW
Summit League,IUPUI
SWAC,Jackson St.
Atlantic Sun,Jacksonville
Ohio Valley,Jacksonville St.
CAA,James Madison
Big Twelve,Kansas
Big Twelve,Kansas St.
Atlantic Sun,Kennesaw St.
MAC,Kent St.
SEC,Kentucky
A10,La Salle
Patriot League,Lafayette
Southland,Lamar
Patriot League,Lehigh
Big South,Liberty
Atlantic Sun,Lipscomb
Northeast,LIU Brooklyn
Big West,Long Beach St.
Big South,Longwood
Sun Belt,Louisiana Lafayette
Sun Belt,Louisiana Monroe
Conference USA,Louisiana Tech
American,Louisville
Missouri Valley,Loyola Chicago
WCC,Loyola Marymount
Patriot League,Loyola MD
SEC,LSU
America East,Maine
MAAC,Manhattan
MAAC,Marist
Big East,Marquette
Conference USA,Marshall
ACC,Maryland
MEAC,Maryland Eastern Shore
A10,Massachusetts
Southland,McNeese St.
American,Memphis
Atlantic Sun,Mercer
ACC,Miami FL
MAC,Miami OH
Big Ten,Michigan
Big Ten,Michigan St.
Conference USA,Middle Tennessee
Horizon League,Milwaukee
Big Ten,Minnesota
SEC,Mississippi
SEC,Mississippi St.
SWAC,Mississippi Valley St.
SEC,Missouri
Missouri Valley,Missouri St.
MAAC,Monmouth
Big Sky,Montana
Big Sky,Montana St.
Ohio Valley,Morehead St.
MEAC,Morgan St.
Northeast,Mount St. Mary's
Ohio Valley,Murray St.
Patriot League,Navy
Big Ten,Nebraska
Summit League,Nebraska Omaha
Mountain West,Nevada
America East,New Hampshire
Mountain West,New Mexico
WAC,New Mexico St.
Southland,New Orleans
MAAC,Niagara
Southland,Nicholls St.
Independent,NJIT
MEAC,Norfolk St.
ACC,North Carolina
MEAC,North Carolina A&T
MEAC,North Carolina Central
ACC,North Carolina St.
Big Sky,North Dakota
Summit League,North Dakota St.
Atlantic Sun,North Florida
Conference USA,North Texas
CAA,Northeastern
Big Sky,Northern Arizona
Big Sky,Northern Colorado
MAC,Northern Illinois
Missouri Valley,Northern Iowa
Atlantic Sun,Northern Kentucky
Big Ten,Northwestern
Southland,Northwestern St.
ACC,Notre Dame
Horizon League,Oakland
MAC,Ohio
Big Ten,Ohio St.
Big Twelve,Oklahoma
Big Twelve,Oklahoma St.
Conference USA,Old Dominion
Southland,Oral Roberts
Pac Ten,Oregon
Pac Ten,Oregon St.
WCC,Pacific
Ivy League,Penn
Big Ten,Penn St.
WCC,Pepperdine
ACC,Pittsburgh
WCC,Portland
Big Sky,Portland St.
SWAC,Prairie View A&M
Big South,Presbyterian
Ivy League,Princeton
Big East,Providence
Big Ten,Purdue
MAAC,Quinnipiac
Big South,Radford
A10,Rhode Island
Conference USA,Rice
A10,Richmond
MAAC,Rider
Northeast,Robert Morris
American,Rutgers
Big Sky,Sacramento St.
Northeast,Sacred Heart
A10,Saint Joseph's
A10,Saint Louis
WCC,Saint Mary's
MAAC,Saint Peter's
Southland,Sam Houston St.
Southern,Samford
WCC,San Diego
Mountain West,San Diego St.
WCC,San Francisco
Mountain West,San Jose St.
WCC,Santa Clara
MEAC,Savannah St.
WAC,Seattle
Big East,Seton Hall
MAAC,Siena
Ohio Valley,SIU Edwardsville
American,SMU
Sun Belt,South Alabama
SEC,South Carolina
MEAC,South Carolina St.
Summit League,South Dakota
Summit League,South Dakota St.
American,South Florida
Ohio Valley,Southeast Missouri St.
Southland,Southeastern Louisiana
SWAC,Southern
Missouri Valley,Southern Illinois
Conference USA,Southern Miss
Big Sky,Southern Utah
A10,St. Bonaventure
Northeast,St. Francis NY
Northeast,St. Francis PA
Big East,St. John's
Pac Ten,Stanford
Southland,Stephen F. Austin
Atlantic Sun,Stetson
America East,Stony Brook
ACC,Syracuse
Big Twelve,TCU
American,Temple
SEC,Tennessee
Ohio Valley,Tennessee Martin
Ohio Valley,Tennessee St.
Ohio Valley,Tennessee Tech
Big Twelve,Texas
SEC,Texas A&M
Southland,Texas A&M Corpus Chris
WAC,Texas Pan American
SWAC,Texas Southern
Sun Belt,Texas St.
Big Twelve,Texas Tech
Southern,The Citadel
MAC,Toledo
CAA,Towson
Sun Belt,Troy
Conference USA,Tulane
Conference USA,Tulsa
Conference USA,UAB
Big West,UC Davis
Big West,UC Irvine
Big West,UC Riverside
Big West,UC Santa Barbara
American,UCF
Pac Ten,UCLA
America East,UMass Lowell
America East,UMBC
WAC,UMKC
Big South,UNC Asheville
Southern,UNC Greensboro
CAA,UNC Wilmington
Mountain West,UNLV
Pac Ten,USC
Atlantic Sun,USC Upstate
Sun Belt,UT Arlington
Pac Ten,Utah
Mountain West,Utah St.
WAC,Utah Valley
Conference USA,UTEP
Conference USA,UTSA
Horizon League,Valparaiso
SEC,Vanderbilt
A10,VCU
America East,Vermont
Big East,Villanova
ACC,Virginia
ACC,Virginia Tech
Big South,VMI
Northeast,Wagner
ACC,Wake Forest
Pac Ten,Washington
Pac Ten,Washington St.
Big Sky,Weber St.
Big Twelve,West Virginia
Southern,Western Carolina
Summit League,Western Illinois
Sun Belt,Western Kentucky
MAC,Western Michigan
Missouri Valley,Wichita St.
CAA,William & Mary
Big South,Winthrop
Big Ten,Wisconsin
Southern,Wofford
Horizon League,Wright St.
Mountain West,Wyoming
Big East,Xavier
Ivy League,Yale
Horizon League,Youngstown St.
